pregunta,opcion1,opcion2,opcion3,correcta
¿Cuántos grupos se comparan en una t de Student para muestras independientes?,1 grupo,2 grupos,3 o más grupos,2 grupos
¿Qué prueba se usa cuando NO hay normalidad en 2 grupos independientes?,t de Student para muestras independientes,U de Mann-Whitney,Wilcoxon,U de Mann-Whitney
¿Cuántos grupos se comparan en una t de Student para muestras relacionadas?,2 grupos independientes,1 grupo medido en dos momentos,3 grupos,1 grupo medido en dos momentos
¿Qué prueba es la alternativa NO paramétrica de la t para muestras relacionadas?,ANOVA de un factor,U de Mann-Whitney,Wilcoxon,Wilcoxon
¿Qué prueba compara 3 o más grupos independientes cuando hay normalidad?,Kruskal-Wallis,ANOVA de un factor,Chi-Cuadrada,ANOVA de un factor
¿Cuál es la prueba NO paramétrica para comparar 3 o más grupos independientes?,ANOVA de un factor,Kruskal-Wallis,U de Mann-Whitney,Kruskal-Wallis
¿Qué prueba se usa para estudiar asociación entre dos variables categóricas?,t de Student,U de Mann-Whitney,Chi-cuadrada,Chi-cuadrada
¿Qué prueba mide la relación lineal entre dos variables cuantitativas normales?,Correlación de Spearman,Regresión lineal,Correlación de Pearson,Correlación de Pearson
¿Cuál es la correlación adecuada cuando no hay normalidad?,Correlación de Pearson,Correlación de Spearman,ANOVA de un factor,Correlación de Spearman
¿Qué prueba se usa para predecir una variable a partir de otra?,Regresión lineal simple,Correlación de Pearson,Kruskal-Wallis,Regresión lineal simple
¿Cuál de estas pruebas es paramétrica?,Kruskal-Wallis,U de Mann-Whitney,t de Student para muestras independientes,t de Student para muestras independientes
¿Cuál de estas pruebas es NO paramétrica?,t de Student para muestras relacionadas,ANOVA de un factor,Kruskal-Wallis,Kruskal-Wallis
¿La t de Student requiere normalidad?,Sí,No,A veces,Sí
¿La chi-cuadrada se utiliza para variables...?,Cuantitativas,Categóricas,Continuas,Categóricas
¿Qué prueba usa rangos en lugar de valores crudos?,t de Student,Wilcoxon,Regresión lineal,Wilcoxon
¿Cuál de estas mide asociación monotónica?,Correlación de Pearson,Correlación de Spearman,ANOVA,Correlación de Spearman
¿Qué prueba se usa con datos apareados y distribución normal?,Chi-cuadrada,t de Student para muestras relacionadas,Kruskal-Wallis,t de Student para muestras relacionadas
¿Qué prueba requiere homogeneidad de varianzas?,Kruskal-Wallis,ANOVA de un factor,Chi-cuadrada,ANOVA de un factor
¿Cuál prueba necesita residuos normales?,Regresión lineal simple,U de Mann-Whitney,Chi-cuadrada,Regresión lineal simple
Para comparar 2 grupos independientes cuando sí hay normalidad, usamos...,U de Mann-Whitney,t de Student para muestras independientes,Kruskal-Wallis,t de Student para muestras independientes
Para correlaciones, Pearson requiere...,Normalidad,Datos categóricos,Tres grupos,Normalidad
La prueba Spearman funciona mejor cuando...,La relación es lineal,La relación es monotónica,La variable es categórica,La relación es monotónica
